prediction,goldlabel,questions,passages_len
Lagrange,Lagrange,"question: Qui a publié l'ouvrage ""la mécanique analytique"" ? </s>",1
troisieme,championne du monde du contre-la-montre,question: Quel est le titre obtenu par Arndt ? </s>,1
Maurice Ravel,Maurice Ravel,question: qui a composé le Bolero de Ravel ? </s>,1
Michel,les frères Winchester,question: Qui libère Lucifer ? </s>,1
Afrique subsaharienne,Afrique subsaharienne,question: Quelle région du continent africain se situe au sud du Sahara ? </s>,1
1882,1882,question: En quelle année Cetshwayo est rétabli en politique ? </s>,1
vers 1100,vers 1100,"question: Quand apparait, en France, le mot ""absolu""? </s>",1
Wang Mang,Wang Mang,question: Qui modifie les ordres et la monnaie ? </s>,1
verts paturages politiques dans le nord,échec à la course pour l'élection à la,question: Edward Dickinson Baker à t-il remporté l'élection de 1859 ? </s>,1
troisieme,troisième,"question: A quelle place se positionne la France en termes de richesses, à l'échelle de l'Europe ? </s>",1
tricolore,"blanche, l'intermédiaire bleue et l'",question: Quelles sont les couleurs du drapeau de la Slovaquie? </s>,1
Royal Flying Doctor Service,a créé le Royal Flying Doctor Service,question: Pour quelle raison le révérend John Flynn est-il connu ? </s>,1
ennuis,Une correspondance assez active et quelques travaux littér,question: Que produit Du Bosc pendant son exil ? </s>,1
cour centrale,Ils étaient organisés autour d'une cour centrale des,question: Quelle était l'organisation spatiale des palais de la dynastie d'Ur ? </s>,1
les gueules bleues de Mannheim,la ville,question: Mannheim est le nom de quoi ? </s>,1
rugby,le tennis,question: Quel sport a gagné en renommé ? </s>,1
1848,1847,question: En quelle année sont fondés les départements français d’Algérie ? </s>,1
Michel Cadot,Michel Cadot,question: Comment s'appelle le préfet de région ? </s>,1
rougeatre,blanc,question: De quelle couleur est le marbre ? </s>,1
Banque nationale de Paris,BNP Paribas,question: Quelle est la première banque française ? </s>,1
1953,1955,question: Quand est-ce que l'Afrique a été representée pour la première fois ? </s>,1
cadmium,cadmium,question: Quel métal est présent dans l'eau et pollue également les rizières en Chine ? </s>,1
Acid Black Cherry,Acid Black Cherry,question: Quel est le nom choisi par Yasu pour son groupe ? </s>,1
"6,5 %","6,5 % dans",question: Quelle est la croissance moyenne de l'Ouganda dans les années 1990 ? </s>,1
FIA,la FIA,question: Quel organisme définit les règles liées à l'utilisation d'enregistreur de données d'accidents ? </s>,1
Ouest algerien,Ouest algérien et sur une partie du sud,question: Ou se situe l'autorité des ifrenides et des maghraouas </s>,1
quatre,quatre,question: Combien de villages sont situés sur la côte des blancs ? </s>,1
la méthodee scientifique,"méthode scientifique, à la fois expérimentale et",question: Qu’a inauguré Antoine Lavoisier ? </s>,1
terre-neuvienne,terre-neuvienne,question: De quelle nationalité Margaret  Iris Duley était-elle à sa naissance ? </s>,1
Giorgio Muggiani,Giorgio Muggiani,question: Qui a fondé l'Inter ? </s>,1
