prediction,goldlabel,questions,passages_len
Empire,Ottomans,question: De quel empire parle t'on? </s>,1
"1,7 million d'euros",base fixe de 68 millions de yens,question: Combien etait paye Satoru Iwata apres sa diminution de salaire en 2011 ? </s>,1
50.8x24.8x60.9,immobilité,question: Dans quelle position le spectateur se retrouve-t-il bloque ? </s>,1
quelques jours,quelques jours,question: Combien de temps un carpophore survit-il en moyenne ? </s>,1
français,français,question: Quelle est la langue officille de la province du Quebec ? </s>,1
12,3,question: Combien d'ecoles anglaises font partie du groupe des dix meilleures en 2018? </s>,1
mont Vergon,Aimé,question: Quel est le nom du mont su sud de la cote des blancs ? </s>,1
Lombards Arduin et Aténo,Arduin et Aténolf,question: Qui commandent les Normands en septembre 1041 ? </s>,1
"RELX Group, Springer, Taylor & Francis e","RELX Group, Springer, Taylor & Francis e",question: Qui sont les groupes d'edition scientifique et techniques monopolistiques ? </s>,1
Kabylie,en Kabylie,question: Ou se situe la chaine des Bibans ? </s>,1
organismes planctoniques,organismes planctoniques,question: Quel type d'organismes vivant est present dans les couches sedimentaires ? </s>,1
les Mangemorts,Mangemorts,question: Qui a assassine emmeline vance? </s>,1
l'importation de la musique classique occidentale qu',la musique classique occidentale,question: Quelle influence a permis a la musique hongroise d'emerger ? </s>,1
Maghreb,761,question: En quelle annee Tahert devient capital de l'Algerie ? </s>,1
potage ou une soupe,l'entrée est souvent remplacée par un potage ou une,question: Quelle substitution frequentes intervient lors du troisieme repas de la journee ? </s>,1
2015,2015,question: En quelle annee le nombre d'auteurs signataires d'une publication scientifique a-t-il atteint un maximum ? </s>,1
l'Empire,Le,question: Qui prend son autonomie ? </s>,1
deux,deux,question: Combien de propositions a recu Staline pour l'architecture de l'hotel Moskva ? </s>,1
"28,70 mètres","28,70 mètres",question: Quelle est la largeur du Vizzavona ? </s>,1
depuis une vingtaine d'années,vingtaine d'années,question: Depuis quand l'unite des terroirs est sous le spectre du roi ? </s>,1
Emanuele,son beau-frère,question: Aupres de qui Gesualdo cherche-t-il une epouse pour son fils ? </s>,1
les Canadiens aux gens des Maritimes,Province du Canada,question: Qui a souhaite elargir l’etendue de cette union ? </s>,1
zèle,Le Tellier,question: De quel representant etatique haut place Du Bosc obtint-il le soutien ? </s>,1
en acceptant son offre de mariage,en acceptant son offre de mariage,question: Comment Elizabeth persuade Norrington de sauver Will ? </s>,1
Ioannès Stephanopoulos,Ioannès Stephanopoulos,question: Comment s'appelle celui qui doit trouver un lieu d'exil pour les Grecs ? </s>,1
8 décembre 1941,7,question: Quel jour de decembre 1941 eut lieu l'attaque du Japon contre les Etats-Unis? </s>,1
grand poème épique datant des derniers siècles a,grand poème épique datant des derniers siècles a,"question: Qu'est-ce que la ""Grande Geste"" ? </s>",1
8 décembre 1941,15 février 1942,question: A quelle date Tokyo s'empara de Singapour? </s>,1
Williams,Williams FW07,question: Quelle est la voiture de Carlos Reutemann ? </s>,1
"Kabylie, Aurès, Sud algérois, G","Kabylie, Aurès, Sud algérois, G",question: quelles sont les regions d'Algerie qui creent des bijoux ? </s>,1
frappe l'arrière du casque de son navigateur,frappe l'arrière du casque de son navigateur,question: Que fait Hans Herrmann pour que son navigateur se baisse ? </s>,1
Heinkel,Aviation,question: Quelle est le ministere en charge des tests? </s>,1
Gabriel Andral,Gabriel Andral,question: De qui Lasegue etait-il le suppleant de 1858 a 1860 ? </s>,1
cadmium,arable,question: Comment caracterise-t-on une terre qui peut-etre cultivee ? </s>,1
"la Suède et le Danemark, la Prus",la Suède et le Danemark,question: Quels sont le premiers pays a adopter le droit des neutralites ? </s>,1
à tout moment,à tout moment,question: Quand l'activite du volcan peut-elle reprendre ? </s>,1
physique,physique,question: Dans quelle discipline le record d'auteurs pour un article a-t-il ete atteint ? </s>,1
il participe à la résistance,il participe à la résistance,question: Comment Pierre-Jakez Helias s'est-il implique politiquement pendant la guerre ? </s>,1
il devient bûcheron et conducteur,guerre,question: Quel evenement a fait que Pierre-Alain Helias a change de metier ? </s>,1
44e,4e,question: A quelle rang termine Florian Schillinger au classement de la coupe du monde B en 2005 ? </s>,1
Afin d'amuser ses fans,Afin d'amuser ses fans,question: Pourquoi Yasu s'est il cache avec les figurants ? </s>,1
1911,en 1911,"question: En quelle annee, Porfirio Diaz cesse-t-il d'etre president ? </s>",1
rongeurs,sur des animaux plus gros,question: Sur quels types d'animaux portent les etudes realisees sur une duree superieure a trois mois ? </s>,1
hivernant dans la Marne,carrières souterraines,question: Ou vivent les chauves-souris de la cote des blancs ? </s>,1
Clifford,Clifford,question: Qui meurt au cours du combat ? </s>,1
"4,9 millions","environ 4,9 millions d'auditeurs","question: A combien d'auditeur represente les 9,7% d'audience ? </s>",1
